Date,MRKP
2025-09-03,0.5079
2025-09-04,0.5089
2025-09-05,0.51
2025-09-08,0.5106
2025-09-09,0.526
2025-09-10,0.5165
2025-09-11,0.5187
2025-09-12,0.5021
2025-09-15,0.5009
2025-09-16,0.4932
2025-09-17,0.4843
2025-09-18,0.4812
2025-09-19,0.4792
2025-09-22,0.4786
2025-09-23,0.47
2025-09-24,0.507
2025-09-25,0.5105
2025-09-26,0.5105
2025-09-29,0.522
2025-09-30,0.5217
2025-10-01,0.5072
2025-10-02,0.4851
2025-10-03,0.4844
2025-10-06,0.4965
2025-10-07,0.5059
2025-10-08,0.4976
2025-10-09,0.4782
2025-10-10,0.4142
2025-10-13,0.4119
2025-10-14,0.4015
2025-10-15,0.4467
2025-10-16,0.4521
2025-10-17,0.4741
2025-10-20,0.4791
2025-10-21,0.47
2025-10-22,0.4568
2025-10-23,0.45
2025-10-24,0.4541
2025-10-27,0.4268
2025-10-28,0.4439
2025-10-29,0.4404
2025-10-30,0.4394
2025-10-31,0.444
2025-11-01,0.4474
2025-11-03,0.4585
2025-11-05,0.4527
2025-11-06,0.4493
2025-11-07,0.4503
2025-11-10,0.4545
2025-11-11,0.4621
2025-11-12,0.4604
2025-11-13,0.4595
2025-11-14,0.4561
2025-11-17,0.4499
2025-11-18,0.4476
2025-11-19,0.4536
2025-11-20,0.457
2025-11-21,0.4566
2025-11-24,0.461
2025-11-25,0.4653
2025-11-26,0.4689
2025-11-27,0.4687
2025-11-28,0.4682
2025-12-01,0.4665
2025-12-02,0.4797
2025-12-03,0.4825
2025-12-04,0.4896
2025-12-05,0.5084
2025-12-08,0.5024
2025-12-09,0.5034
2025-12-10,0.5117
2025-12-11,0.5125
2025-12-12,0.5045
2025-12-15,0.4998
2025-12-16,0.4998
2025-12-17,0.5002
2025-12-18,0.5017
2025-12-19,0.5073
2025-12-22,0.4986
2025-12-23,0.5094
2025-12-24,0.5088
2025-12-25,0.519
2025-12-26,0.5416
2025-12-29,0.5476
2025-12-30,0.554
