Date,PLZL
2025-05-14,1712.0
2025-05-15,1684.6
2025-05-16,1663.4
2025-05-19,1655.6
2025-05-20,1705.0
2025-05-21,1706.0
2025-05-22,1669.8
2025-05-23,1719.4
2025-05-26,1663.0
2025-05-27,1653.6
2025-05-28,1688.8
2025-05-29,1680.8
2025-05-30,1687.0
2025-06-02,1729.8
2025-06-03,1739.0
2025-06-04,1761.8
2025-06-05,1823.8
2025-06-06,1746.2
2025-06-09,1711.8
2025-06-10,1722.4
2025-06-11,1734.0
2025-06-13,1764.4
2025-06-16,1757.0
2025-06-17,1744.4
2025-06-18,1732.8
2025-06-19,1733.0
2025-06-20,1715.4
2025-06-23,1701.8
2025-06-24,1717.8
2025-06-25,1755.6
2025-06-26,1790.0
2025-06-27,1797.2
2025-06-30,1817.4
2025-07-01,1865.0
2025-07-02,1867.0
2025-07-03,1851.6
2025-07-04,1908.0
2025-07-07,1882.0
2025-07-08,1845.2
2025-07-09,1828.4
2025-07-10,1860.8
2025-07-11,1790.0
2025-07-14,1837.6
2025-07-15,1862.0
2025-07-16,1884.4
2025-07-17,1891.0
2025-07-18,1873.0
2025-07-21,1943.2
2025-07-22,1970.0
2025-07-23,1968.8
2025-07-24,1973.0
2025-07-25,1914.6
2025-07-28,1931.0
2025-07-29,1987.0
2025-07-30,1930.8
2025-07-31,1967.2
2025-08-01,1966.4
2025-08-04,2031.6
2025-08-05,2048.0
2025-08-06,2053.8
2025-08-07,2079.4
2025-08-08,2145.0
2025-08-11,2108.4
2025-08-12,2077.0
2025-08-13,2097.4
2025-08-14,2108.0
2025-08-15,2116.2
2025-08-18,2115.6
2025-08-19,2137.8
2025-08-20,2146.8
2025-08-21,2147.4
2025-08-22,2194.0
2025-08-25,2198.0
2025-08-26,2209.6
2025-08-27,2143.8
2025-08-28,2165.0
2025-08-29,2138.2
2025-09-01,2182.4
2025-09-02,2223.8
2025-09-03,2232.2
2025-09-04,2219.4
2025-09-05,2235.6
2025-09-08,2280.8
2025-09-09,2327.4
2025-09-10,2336.4
2025-09-11,2328.4
2025-09-12,2312.8
2025-09-15,2345.0
2025-09-16,2340.2
2025-09-17,2309.6
2025-09-18,2296.0
2025-09-19,2293.6
2025-09-22,2328.6
2025-09-23,2322.8
2025-09-24,2309.0
2025-09-25,2313.0
2025-09-26,2320.2
2025-09-29,2386.6
2025-09-30,2362.4
2025-10-01,2368.2
2025-10-02,2317.2
2025-10-03,2321.8
2025-10-06,2377.4
2025-10-07,2386.0
2025-10-08,2352.0
2025-10-09,2323.0
2025-10-10,2292.4
2025-10-13,2223.6
2025-10-14,2128.2
2025-10-15,2212.8
2025-10-16,2340.0
2025-10-17,2196.2
2025-10-20,2186.0
2025-10-21,2058.2
2025-10-22,2043.8
2025-10-23,2037.2
2025-10-24,2043.2
2025-10-27,1971.0
2025-10-28,1980.6
2025-10-29,2045.8
2025-10-30,2094.6
2025-10-31,2052.8
2025-11-01,2062.0
2025-11-03,2098.8
2025-11-05,2087.0
2025-11-06,2072.8
2025-11-07,2084.8
2025-11-10,2148.0
2025-11-11,2153.8
2025-11-12,2153.6
2025-11-13,2167.8
2025-11-14,2150.2
2025-11-17,2095.0
2025-11-18,2130.2
2025-11-19,2145.0
2025-11-20,2170.2
2025-11-21,2161.0
2025-11-24,2140.0
2025-11-25,2133.6
2025-11-26,2136.6
2025-11-27,2111.2
2025-11-28,2140.4
2025-12-01,2144.8
2025-12-02,2135.0
2025-12-03,2128.0
2025-12-04,2136.8
2025-12-05,2168.6
2025-12-08,2138.0
2025-12-09,2168.0
2025-12-10,2183.8
2025-12-11,2255.6
2025-12-12,2241.8
2025-12-15,2294.2
2025-12-16,2312.4
2025-12-17,2310.2
2025-12-18,2294.4
2025-12-19,2304.8
2025-12-22,2286.8
2025-12-23,2328.0
2025-12-24,2325.2
2025-12-25,2324.6
2025-12-26,2373.4
2025-12-29,2372.0
2025-12-30,2398.4
