Date,MGNT
2024-11-22,4494.0
2024-11-25,4330.0
2024-11-26,4150.0
2024-11-27,4213.0
2024-11-28,4263.5
2024-11-29,4529.5
2024-12-02,4629.0
2024-12-03,4559.5
2024-12-04,4446.0
2024-12-05,4478.0
2024-12-06,4576.0
2024-12-09,4597.5
2024-12-10,4521.5
2024-12-11,4529.0
2024-12-12,4443.0
2024-12-13,4411.0
2024-12-16,4308.5
2024-12-17,4340.0
2024-12-18,4432.5
2024-12-19,4415.5
2024-12-20,4921.5
2024-12-23,4984.0
2024-12-24,4945.5
2024-12-25,5027.5
2024-12-26,5174.0
2024-12-27,5210.0
2024-12-28,5009.0
2024-12-30,5092.0
2025-01-03,5016.5
2025-01-06,4942.5
2025-01-08,4787.5
2025-01-09,4836.0
2025-01-10,4882.5
2025-01-13,4660.0
2025-01-14,4718.0
2025-01-15,4754.5
2025-01-16,4716.5
2025-01-17,4741.5
2025-01-20,4643.0
2025-01-21,4708.0
2025-01-22,4694.5
2025-01-23,4710.0
2025-01-24,4664.5
2025-01-27,4582.5
2025-01-28,4671.0
2025-01-29,4674.5
2025-01-30,4710.0
2025-01-31,4665.5
2025-02-03,4625.5
2025-02-04,4591.0
2025-02-05,4678.0
2025-02-06,4680.5
2025-02-07,4662.0
2025-02-10,4705.5
2025-02-11,4902.0
2025-02-12,5029.0
2025-02-13,5055.5
2025-02-14,4938.0
2025-02-17,5199.0
2025-02-18,5125.0
2025-02-19,5195.0
2025-02-20,5324.5
2025-02-21,5340.0
2025-02-24,5365.0
2025-02-25,5384.5
2025-02-26,5167.0
2025-02-27,5005.0
2025-02-28,4950.0
2025-03-03,4909.0
2025-03-04,5037.0
2025-03-05,5015.5
2025-03-06,5000.0
2025-03-07,4936.5
2025-03-10,4841.5
2025-03-11,4900.0
2025-03-12,4852.0
2025-03-13,4830.0
2025-03-14,4923.0
2025-03-17,4977.5
2025-03-18,4892.0
2025-03-19,4873.5
2025-03-20,4855.0
2025-03-21,4814.0
2025-03-24,4689.0
2025-03-25,4677.5
2025-03-26,4618.0
2025-03-27,4520.0
2025-03-28,4421.5
2025-03-31,4417.5
2025-04-01,4649.5
2025-04-02,4736.5
2025-04-03,4658.0
2025-04-04,4415.5
2025-04-07,4395.0
2025-04-08,4345.0
2025-04-09,4518.0
2025-04-10,4583.0
2025-04-11,4567.5
2025-04-14,4473.0
2025-04-15,4481.5
2025-04-16,4541.0
2025-04-17,4550.0
2025-04-18,4473.0
2025-04-21,4512.5
2025-04-22,4592.5
2025-04-23,4536.0
2025-04-24,4585.0
2025-04-25,4630.0
2025-04-28,4763.5
2025-04-29,4467.0
2025-04-30,4434.5
2025-05-02,4309.5
2025-05-05,4226.0
2025-05-06,4288.5
2025-05-07,4325.0
2025-05-08,4327.0
2025-05-12,4416.0
2025-05-13,4353.0
2025-05-14,4288.0
2025-05-15,4315.0
2025-05-16,4264.5
2025-05-19,4255.0
2025-05-20,4238.5
2025-05-21,4176.0
2025-05-22,3922.0
2025-05-23,3877.5
2025-05-26,3750.5
2025-05-27,3744.0
2025-05-28,3780.0
2025-05-29,3755.0
2025-05-30,3788.0
2025-06-02,3832.5
2025-06-03,3925.5
2025-06-04,3925.0
2025-06-05,3948.0
2025-06-06,3897.5
2025-06-09,3759.0
2025-06-10,3706.5
2025-06-11,3694.0
2025-06-13,3697.5
2025-06-16,3669.5
2025-06-17,3694.5
2025-06-18,3670.0
2025-06-19,3676.0
2025-06-20,3614.5
2025-06-23,3566.0
2025-06-24,3576.0
2025-06-25,3620.5
2025-06-26,3608.5
2025-06-27,3600.0
2025-06-30,3632.5
2025-07-01,3719.5
2025-07-02,3664.0
2025-07-03,3637.0
2025-07-04,3603.0
2025-07-07,3615.5
2025-07-08,3551.5
2025-07-09,3502.5
2025-07-10,3491.0
2025-07-11,3395.0
2025-07-14,3501.0
2025-07-15,3521.5
2025-07-16,3580.0
2025-07-17,3569.0
2025-07-18,3621.5
2025-07-21,3673.0
2025-07-22,3709.5
2025-07-23,3693.5
2025-07-24,3671.0
2025-07-25,3680.0
2025-07-28,3585.5
2025-07-29,3592.0
2025-07-30,3563.5
2025-07-31,3525.5
2025-08-01,3527.5
2025-08-04,3599.0
2025-08-05,3601.0
2025-08-06,3616.5
2025-08-07,3675.0
2025-08-08,3745.5
2025-08-11,3785.5
2025-08-12,3765.5
2025-08-13,3740.0
2025-08-14,3801.5
2025-08-15,3788.0
2025-08-18,3777.5
2025-08-19,3800.0
2025-08-20,3764.5
2025-08-21,3689.0
2025-08-22,3706.5
2025-08-25,3651.0
2025-08-26,3660.5
2025-08-27,3692.0
2025-08-28,3677.0
2025-08-29,3670.0
2025-09-01,3520.0
2025-09-02,3475.0
2025-09-03,3489.0
2025-09-04,3485.5
2025-09-05,3531.5
2025-09-08,3504.5
2025-09-09,3509.0
2025-09-10,3482.0
2025-09-11,3481.0
2025-09-12,3404.0
2025-09-15,3329.5
2025-09-16,3305.0
2025-09-17,3299.5
2025-09-18,3231.5
2025-09-19,3196.5
2025-09-22,3164.0
2025-09-23,3163.5
2025-09-24,3422.0
2025-09-25,3251.5
2025-09-26,3209.5
2025-09-29,3125.0
2025-09-30,3087.0
2025-10-01,3041.5
2025-10-02,3052.0
2025-10-03,3005.0
2025-10-06,3024.0
2025-10-07,3073.0
2025-10-08,2979.0
2025-10-09,3041.0
2025-10-10,2996.0
2025-10-13,2933.0
2025-10-14,2901.5
2025-10-15,2880.0
2025-10-16,3040.0
2025-10-17,3065.0
2025-10-20,3063.0
2025-10-21,2986.5
2025-10-22,2955.0
2025-10-23,2945.0
2025-10-24,2916.0
2025-10-27,2810.0
2025-10-28,2838.0
2025-10-29,2825.0
2025-10-30,2926.5
2025-10-31,2871.0
2025-11-01,2872.5
2025-11-03,2908.5
2025-11-05,2866.0
2025-11-06,2869.5
2025-11-07,2867.5
2025-11-10,2880.0
2025-11-11,2887.0
2025-11-12,2851.0
2025-11-13,2870.0
2025-11-14,2848.5
2025-11-17,2814.5
2025-11-18,2843.5
2025-11-19,2877.5
2025-11-20,2942.5
2025-11-21,2913.5
2025-11-24,2905.5
2025-11-25,2982.0
2025-11-26,2971.0
2025-11-27,2900.5
2025-11-28,2942.0
2025-12-01,2897.5
2025-12-02,2900.0
2025-12-03,2881.0
2025-12-04,2879.0
2025-12-05,2907.0
2025-12-08,3052.0
2025-12-09,3035.0
2025-12-10,3149.5
2025-12-11,3097.5
2025-12-12,3057.0
2025-12-15,3102.5
2025-12-16,3113.5
2025-12-17,3211.0
2025-12-18,3211.0
2025-12-19,3161.0
2025-12-22,3083.5
2025-12-23,3076.5
2025-12-24,3036.5
2025-12-25,3001.0
2025-12-26,3042.5
2025-12-29,3017.0
2025-12-30,3012.0
